ID NO.,NAME,QUANTITY,STATUS,ADDRESS,CUSTOMER NAME,TOTAL AMOUNT,EXPECTED DELIVERY DATE,ACTUAL DELIVERY DATE,PRIORITY,DELIVERY AGENT,NOTES,RATING BY CUSTOMER
1001,Office Ergonomic Chair - SKU 8821,5,Delivered,"123 Business Park, TechZone",Alpha Corp,12500,10-01-25,10-07-25,High,James Wilson,Delivered to reception,5
1002,Monitor Stand - SKU 1102,10,Pending,"45 Industrial Way, Logistics Hub",Beta Solutions,4500,12-01-25,03-12-205,Medium,Sarah Davis,Awaiting security clearance,4
1003,Wireless Keyboard - Batch C,20,Delivered,"78 Corporate Ave, Finance District",Gamma Inc,8000,01-15-25,01-16-25,Low,Michael Brown,Delayed due to traffic,4
1004,Laptop Docking Station - Unit 5,2,In Progress,"89 Innovation Dr, Startup City",Delta Tech,3000,18-01-2025,01-22-25,High,Emily White,Out for delivery,3
1005,Conference Table - SKU 9982,1,Delivered,"56 Executive Blvd, Management Plaza",Epsilon Group,25000,01-20-25,01-26-25,High,David Miller,Early delivery requested,5
1006,Whiteboard Markers - Box 12,50,Delivered,"23 Education Ln, School District",Zeta Schools,1500,22-01-2025,22-01-2025,Low,Jennifer Garcia,Left at front desk,4.5
1007,Projector Screen - 100 inch,1,Pending,"67 Media Cir, Creative Studio",Eta Productions,5000,25-01-2025,01-27-25,Medium,Robert Martinez,Address verification needed,3.5
1008,Filing Cabinet - Metal,3,Delivered,"34 Admin St, Government Center",Theta Agency,6000,28-01-2025,30-01-2025,Medium,Linda Rodriguez,Elevator issue caused delay,3
1009,Printer Paper - A4 Case,10,Delivered,"90 Print Rd, Publishing House",Iota Press,2000,01-02-25,01-03-25,Low,William Hernandez,Standard delivery,5
1010,Network Switch - 24 Port,2,In Progress,"12 Server Alley, Data Center",Kappa Systems,8000,05-02-25,05-07-25,High,Elizabeth Lopez,Scheduled for afternoon,5
1011,USB-C Cables - Pack 10,15,Delivered,"45 Tech Park, Software Solutions",Lambda Soft,1500,08-02-25,08-02-25,Low,Thomas Gonzalez,Received by IT admin,4.8
1012,Standing Desk Converter,4,Pending,"78 Wellness Way, Health Corp",Mu Health,12000,10-02-25,10-04-25,Medium,Barbara Perez,Rescheduled by client,3.7
1013,Noise Cancelling Headphones,8,Delivered,"23 Audio Ln, Call Center",Nu Communications,16000,12-02-25,12-09-25,High,Joseph Sanchez,Incorrect address initially,4
1014,Webcam - HD 1080p,12,Delivered,"56 Remote Dr, Virtual Office",Xi Consultants,7200,15-02-2025,02-17-25,Medium,Susan Clark,Handed to security,5
1015,Paper Shredder - Heavy Duty,1,In Progress,"89 Secure St, Law Firm",Omicron Legal,3500,18-02-2025,02-19-25,Low,Charles Ramirez,Driver en route,4.2
1016,Coffee Machine - Industrial,1,Delivered,"12 Breakroom Blvd, Corporate HQ",Pi Enterprises,45000,20-02-2025,02-25-25,High,Margaret Lewis,Installation included,5
